Dhèwèké	O
dikanonisasi	O
déning	O
Paus	B-PER
Nikolas	I-PER
I	I-PER
.	O

kang	O
dikomandani	O
déning	O
Ahmad	B-PER
Dhani	I-PER
,	O
sawisé	O
vokalis	O
sadurungé	O
ya	O
iku	O
amarga	O
Ari	B-PER
Lasso	I-PER
ditokaké	O
.	O

Miturut	O
Homeros	B-PER
,	O
Sisifos	O
punika	O
tiyang	O
ingkang	O
licik	O
sanget	O
.	O

Vereenigde	B-ORG
Oostindische	I-ORG
Compagnie	I-ORG

Rusia	B-LOC
дд	O
/	O
мм	O
/	O
гггг	O
(	O
день	O
/	O
месяц	O
/	O
год	O
)	O

Martin	B-PER
Luther	I-PER
King	I-PER
,	I-PER
Jr	I-PER
.	I-PER

Banjur	O
rekor	O
iku	O
direbut	O
déning	O
Thierry	B-PER
Henry	I-PER
.	O

Dhèwèké	O
salah	O
sawijining	O
anggota	O
saka	O
Super	B-ORG
Junior	I-ORG
.	O

Paus	B-PER
Pius	I-PER
X	I-PER
--	O
--	O
--	O
Ya	O

Dhèwèké	O
misuwur	O
minangka	O
panyithak	O
gol	O
kapisan	O
Euro	B-ORG
2008	I-ORG
.	O

Ali	B-PER
bin	I-PER
Abi	I-PER
Tholib	I-PER

Kuwait	B-LOC
-	O
Kuwait	B-LOC
City	I-LOC

Kabupatèn	B-LOC
Alor	I-LOC
,	O
Nusa	B-LOC
Tenggara	I-LOC
Wétan	I-LOC

Naté	O
lelana	O
dhateng	O
Amsterdam	B-LOC
lan	O
Paris	B-LOC
(	O
1950-1952	O
)	O
.	O

Star	B-ORG
Trek	I-ORG
:	I-ORG
The	I-ORG
Original	I-ORG
Series	I-ORG

'	O
''	O
Brasil	B-LOC
''	O
'	O

ALIH	O
Batuceper	B-LOC
,	I-LOC
Tangerang	I-LOC

Kamerun	B-LOC
(	O
5	O
%	O
)	O

'	O
''	O
Roger	B-PER
Federer	I-PER
[3]	O
''	O
'	O

Dhaptar	B-LOC
Taman	I-LOC
Nasional	I-LOC
ing	I-LOC
Indonésia	I-LOC

'	O
''	O
Ronaldo	B-PER
''	O
'	O

Alih	O
Laos	B-LOC
(	I-LOC
negara	I-LOC
)	I-LOC

Jawa	B-LOC
Wétan	I-LOC
-	O
Surabaya	B-LOC

ALIH	O
Victoria	B-PER
saking	I-PER
Britania	I-PER
Raya	I-PER

Louis	B-PER
Armstrong	I-PER
,	O
(	O
1901-1971	O
)	O

Taman	B-ORG
Impian	I-ORG
Jaya	I-ORG
Ancol	I-ORG

'	O
''	O
Libanon	B-LOC
''	O
'	O

Hong	B-LOC
Kong	I-LOC
(	O
in	O
English	O
)	O

Universitas	B-ORG
Diponegoro	I-ORG
(	O
UNDIP	O
)	O

'	O
''	O
Maria	B-PER
Sharapova	I-PER
[5]	O
''	O
'	O

Punika	O
ugi	O
langkung	O
amargi	O
kabegjan	O
,	O
amargi	O
Michael	B-PER
Schumacher	I-PER
ingkang	O
nalika	O
punika	O
saweg	O
mimpin	O
balapan	O
,	O
ngalami	O
perkawis	O
transmisi	O
wonten	O
ing	O
lap	O
ingkang	O
pungkasan	O
.	O

Usmar	B-PER
Ismail	I-PER
,	O
sutradhara	O

Honda	B-ORG
-	O
namung	O
lumampah	O
ing	O
Jepang	B-LOC
.	O

Garuda	B-ORG
Indonésia	I-ORG
(	O
Jakarta	B-LOC
)	O

Turki	B-LOC
(	O
laladan	O
Anatolia	B-LOC
)	O

2006	B-ORG
-	O
''Ora	O
lolos	O
''	O

Sapardi	B-PER
Djoko	I-PER
Damono	I-PER
(	O
Anggota	O
)	O

ALIH	O
Tim	B-ORG
nasional	I-ORG
bal-balan	I-ORG
Spanyol	I-ORG

Korean	B-ORG
Air	I-ORG
(	O
Seoul-Incheon	O
)	O

ALIH	O
Kodhe	B-ORG
maskapai	I-ORG
pamaburan	I-ORG
IATA	I-ORG

Tiyang	O
kekalih	O
punika	O
mendhet	O
ulam	O
ingkang	O
mawarni-warni	O
kondur	O
dhateng	O
Éropah	B-LOC
kelebet	O
''Incisus	O
Glossolepis	O
''	O
.	O

49.035	O
km²	O
--	O
Slowakia	B-LOC

'	O
''	O
Rafael	B-PER
Nadal	I-PER
[1]	O
''	O
'	O

Robert	B-PER
Kubica	I-PER
(	O
2010-	O
...	O
)	O

Repertoar	O
iki	O
arupa	O
daur	O
ulang	O
saka	O
répertoar	O
berjudul	O
padha	O
kang	O
pernah	O
ditotonaké	O
déning	O
Tim	O
S	O
SKE48	B-ORG
.	O

'	O
''	O
Luís	B-PER
Figo	I-PER
''	O
'	O

ALIH	O
Garis	B-ORG
Bar	I-ORG
Lev	I-ORG

ALIH	O
Ali	B-PER
bin	I-PER
Abi	I-PER
Tholib	I-PER

Jawa	B-LOC
/	O
bagéan	O
saking	O
Indonésia	B-LOC

'	O
''	O
Ronaldo	B-PER
''	O
'	O

0255	O
-	O
Sebagian	O
Kabupatèn	B-LOC
Cianjur	I-LOC

Mayu	B-PER
Watanabe	I-PER
(	O
渡辺	O
麻友	O
)	O

Deheweke	O
wis	O
kaping	O
112	O
mbela	O
timnas	O
,	O
iku	O
ndadekake	O
dheweke	O
urutan	O
nomer	O
telu	O
wong	O
kang	O
paling	O
akeh	O
mbela	O
timnas	O
,	O
nomer	O
siji	O
Paolo	B-PER
Maldini	I-PER
lan	O
nomer	O
loro	O
Fabio	B-PER
Cannavaro	I-PER
.	O

ALIH	O
Tlaga	B-LOC
Mono	I-LOC
,	I-LOC
California	I-LOC

Livas	O
short	O
introductory	O
videos	O
on	O
YouTube	B-ORG

Powiat	B-LOC
Puławy	I-LOC
,	O
Puławy	B-LOC

Kutha	B-LOC
krajanné	I-LOC
iku	O
Kopenhagen	B-LOC
.	O

ALIH	O
Andries	B-PER
Cornelis	I-PER
Dirk	I-PER
de	I-PER
Graeff	I-PER

Komite	B-PER
Nasional	I-PER
Keselamatan	I-PER
Transportasi	I-PER
(	O
KNKT	O
)	O

Paus	B-PER
Zephyrinus	I-PER
--	O
--	O
YaYa	O

ALIH	O
Tim	B-ORG
nasional	I-ORG
bal-balan	I-ORG
Rumania	I-ORG

Astro	B-ORG
(	I-ORG
TV	I-ORG
satelit	I-ORG
)	I-ORG

Alih	O
Lyndon	B-PER
B.	I-PER
Johnson	I-PER

Merpati	B-ORG
Nusantara	I-ORG
Airlines	I-ORG

ALIH	O
Kebon	B-ORG
Botani	I-ORG
Kalmthout	I-ORG

Alih	O
Kevin	B-PER
Richardson	I-PER
(	I-PER
musisi	I-PER
)	I-PER

Nia	B-PER
Ramadhani	I-PER
dadi	O
Niken	O

Komisi	B-ORG
Dhuwur	I-ORG
tumrap	I-ORG
Pengungsi	I-ORG
Perserikatan	I-ORG
Bangsa-Bangsa	I-ORG
(	I-ORG
UNHCR	I-ORG
)	I-ORG

ALIH	O
Institut	B-ORG
Tèknologi	I-ORG
Bandung	I-ORG

Zachary	B-PER
Taylor	I-PER
,	O
Millard	B-ORG
Fillmore	I-ORG

Powiat	B-LOC
Gorlice	I-LOC
,	O
Gorlice	B-LOC

Powiat	B-LOC
Przasnysz	I-LOC
,	O
Przasnysz	B-LOC

===	O
Maluku	B-LOC
&	O
Papua	B-LOC
===	O

'	O
''	O
Jayanagara	B-PER
''	O
'	O
(	O
1309-1328	O
)	O

ALIH	O
Vocan	B-LOC
Santa	I-LOC
Maria	I-LOC

Aldo	B-PER
Moro	I-PER
(	O
Periode	O
kaping	O
1	O
)	O

ALIH	O
Muhammad	B-PER
bin	I-PER
Idris	I-PER
asy-Syafi`i	I-PER

1998	B-ORG
-	O
''ora	O
lolos	O
''	O

ALIH	O
Nikolas	B-PER
saka	I-PER
Myra	I-PER

'	O
''	O
Rafael	B-PER
Nadal	I-PER
''	O
'	O

Powiat	B-LOC
Ząbkowice	I-LOC
Śląskie	I-LOC
,	O
Ząbkowice	B-LOC
Śląskie	I-LOC

ALIH	O
Jailolo	B-LOC
,	I-LOC
Halmahera	I-LOC
Kulon	I-LOC

Tiga	O
penelitian	O
ing	O
Pennsylvania	B-LOC
nunjukakenmenawi	O
mustakaa	O
botak	O
dipunkaitaken	O
kaliyan	O
dominasi	O
déning	O
katah	O
tiyang	O
.	O

ALIH	O
Asosiasi	B-ORG
Bangsa	I-ORG
Bangsa	I-ORG
Asia	I-ORG
Kidul	I-ORG
Wétan	I-ORG

Kagiyatan	O
iki	O
dirancang	O
déning	O
wong	O
Inggris	B-LOC
mawa	O
''call	O
sign	O
''	O
G3BHK	O
.	O

Plato	B-PER
(	O
427-347	O
BCE	O
)	O

Alih	O
Limburg	B-LOC
(	I-LOC
Belgia	I-LOC
)	I-LOC

Topaz	B-ORG
(	O
Al2SiO4	O
(	O
OH-	O
,	O
F-	O
)	O
2	O
)	O

Paus	B-PER
Yohanes	I-PER
XXIII	I-PER

Aki	B-PER
Takajo	I-PER
(	O
高城	O
亜樹	O
)	O

Klinika	O
''Famila	O
''	O
impor	O
saka	O
SCTV	B-ORG

(	O
'	O
''	O
Tutugé	B-PER
...	I-PER
''	O
'	O
)	O

ALIH	O
Otoritas	B-LOC
Nasional	I-LOC
Palèstina	I-LOC

Mount	B-LOC
Athos	I-LOC
(	I-LOC
otonom	I-LOC
)	I-LOC

ALIH	O
Kamentrian	B-ORG
Luar	I-ORG
Negri	I-ORG
Republik	I-ORG
Indonésia	I-ORG

Dana	B-ORG
Monetèr	I-ORG
Internasional	I-ORG
(	O
''IMF	O
''	O
)	O

ALIH	O
Bacharuddin	B-PER
Jusuf	I-PER
Habibie	I-PER

Dheweke	O
banjur	O
kuliah	O
ing	O
Universitas	B-ORG
Indonésia	I-ORG
.	O

Kasor	O
PF	O
vs	O
Rafael	B-PER
Nadal	I-PER
[1]	O

ALIH	O
Dhéwan	B-ORG
Kaamanan	I-ORG
PBB	I-ORG
